Episode,Loss
1,0
2,0
3,2.2426109286241753
4,2.2595369696617125
5,2.496067669656542
6,2.4390913929258073
7,2.6279189277578285
8,2.1425063212712607
9,2.8402067025502524
10,2.6208240611212594
11,2.661118784888846
12,2.6650111458518286
13,2.4663342812965654
14,2.4708526645387923
15,2.3423100776142545
16,2.2901885641945734
17,1.8469775915145874
18,2.5498906544276645
19,2.5405804174286977
20,2.1802997563196267
21,2.541580194234848
22,2.573435386021932
23,2.487551764438027
24,2.6797823843203092
25,2.402542769908905
26,2.373031871659415
27,2.6120763805177476
28,3.1281588077545166
29,1.9989765882492065
30,2.1617747870358555
31,2.4287028934644614
32,2.584698166166033
33,2.745943182393124
34,2.8914588008608137
35,1.4457921385765076
36,2.808425559717066
37,2.437716394662857
38,2.4343192633241415
39,2.973176956176758
40,2.505090657869975
41,2.467241425514221
42,2.8782440423965454
43,2.3452305495738983
44,2.367160955471779
45,2.170218415693803
46,2.3801152328165567
47,2.4522565698623655
48,2.147637724876404
49,2.3925326737490566
50,2.3529995295961026
51,2.413848720987638
52,1.6832409302393596
53,2.2537660490382803
54,2.5076931064779107
55,2.3941342319761003
56,2.286992995511918
57,1.968227243423462
58,2.150146060519748
59,2.3204530752622166
60,2.21900118779445
61,2.10847716861301
62,2.5842243432998657
63,2.0825282877141778
64,2.0878383779525755
65,2.2792579363553953
66,2.9179609775543214
67,2.2343905667463937
68,2.2037067248271063
69,2.2771048810746937
70,2.2823179006576537
71,2.9698996543884277
72,2.339171957462392
73,2.3511834104855853
74,2.419734064489603
75,2.2067728481794657
76,2.229032702562286
77,3.058596666042621
78,2.35431969165802
79,2.3088030964136124
80,2.41815522313118
81,2.2985013484954835
82,2.3032654921213784
83,2.6286387145519257
84,2.2494027064396787
85,2.2502090760639737
86,2.295216915342543
87,2.3940602353974882
88,2.0673850178718567
89,2.497403753214869
90,2.3101818210938396
91,2.2830139610502456
92,2.2117715080579123
93,2.285763743519783
94,2.4637889206409453
95,2.3706938417590395
96,2.3045482823723242
97,2.6634033918380737
98,2.661914348602295
99,2.3988520022895603
100,2.3054003384378223
101,2.3369194618085536
102,2.225382701555888
103,2.309972239865197
104,2.159717313448588
105,3.000879645347595
106,2.2043116353452206
