Episode,Worker_ID,Start,Goal,Collision,Win,Over_Step,Over_Map,Epsilon,AccumReward
49,0,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.7840000000000025,72.3008365687478
50,3,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],0,0,0,1,0.7795000000000025,-70.71671823163581
51,3,[[ 1.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.7750000000000026,-69.3207628075487
52,2,[[ 1.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.7705000000000026,-37.437682478270744
53,1,[[ 2.  11.   0.1]],[[ -2.  -11.    0.1]],0,0,0,1,0.7660000000000027,-80.77904267390306
54,0,[[ 1.  11.   0.1]],[[  0.  -10.    0.1]],0,0,0,1,0.7615000000000027,-44.29593782390363
55,2,[[ 4.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.7570000000000028,-25.606861847344785
56,0,[[ 4.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.7525000000000028,-31.426217616128405
57,2,[[-2.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.7480000000000029,-38.498226908010544
58,2,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.7435000000000029,-26.18821024140512
59,3,[[-4.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.739000000000003,-47.86077510784155
60,0,[[ 4.  11.   0.1]],[[  0.  -11.    0.1]],0,0,0,1,0.734500000000003,-50.20148956170013
61,1,[[ 4.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.7300000000000031,-63.589847546293946
62,3,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.7255000000000031,-60.829287436214656
63,2,[[ 0.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.7210000000000032,-61.399090096949976
64,3,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.7165000000000032,-29.316684122420277
65,2,[[-1.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.7120000000000033,-57.712616562442996
66,3,[[ 3.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.7075000000000033,-70.62365760368606
67,3,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.7030000000000034,-20.726369028159553
68,0,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.6985000000000035,-47.88568839910693
69,2,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.6940000000000035,-19.86977157151248
70,1,[[-1.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.6895000000000036,-27.78778886174031
71,2,[[ 1.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.6850000000000036,-56.25844277317029
72,1,[[ 3.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.6805000000000037,-29.281169269453912
73,3,[[ 0.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.6760000000000037,-36.79794051497276
74,3,[[-4.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.6715000000000038,-24.854496257968165
75,2,[[-1.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.6670000000000038,-11.561705310331385
76,3,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.6625000000000039,-18.9075977826842
77,0,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.6580000000000039,16.452887396824266
78,1,[[-3.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.653500000000004,-23.63538506775862
79,1,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],0,0,0,1,0.649000000000004,-25.57564398647925
80,1,[[-1.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.6445000000000041,-30.862576482541993
81,3,[[ 2.  11.   0.1]],[[  1.  -10.    0.1]],0,0,0,1,0.6400000000000041,-29.669368726004908
82,2,[[ 0.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.6355000000000042,-18.13068980912781
83,2,[[ 4.  11.   0.1]],[[  1.  -10.    0.1]],0,0,0,1,0.6310000000000042,-29.105456774018798
84,1,[[ 3.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.6265000000000043,3.831407178558795
85,0,[[-3.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.6220000000000043,-54.07048753403021
86,1,[[-2.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.6175000000000044,-43.66883247896966
87,3,[[ 3.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.6130000000000044,-0.9682507786191223
88,1,[[ 3.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.6085000000000045,-19.755462457055987
89,2,[[-2.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.6040000000000045,-13.329865291299804
90,3,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.5995000000000046,-32.757317341136954
91,0,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.5950000000000046,-51.99141701016494
92,2,[[-1.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.5905000000000047,-47.70176838563418
93,2,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.5860000000000047,-30.749330094539808
94,2,[[-2.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.5815000000000048,-45.66598349697282
95,3,[[-3.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.5770000000000048,-22.528740533768087
96,1,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.5725000000000049,-6.503389134442443
97,3,[[-1.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.568000000000005,-17.62253931973403
98,0,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.563500000000005,67.55568762077931
99,0,[[-1.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.559000000000005,-78.64005364920718
100,2,[[ 0.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.5545000000000051,22.75530332577542
101,3,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.5500000000000052,-41.52758582865668
102,2,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.5455000000000052,-24.05601589230368
103,0,[[-2.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.5410000000000053,-49.28047958398872
104,3,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.5365000000000053,-28.01808419461229
105,1,[[ 3.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.5320000000000054,41.91017295966901
106,1,[[-3.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.5275000000000054,-18.520267475538773
107,0,[[-4.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.5230000000000055,-34.16616013851293
108,0,[[-4.  11.   0.1]],[[ -2.  -11.    0.1]],0,0,0,1,0.5185000000000055,-37.10996457968798
109,3,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],0,0,0,1,0.5140000000000056,-4.520835515065308
110,0,[[-3.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.5095000000000056,-31.54113392278074
111,2,[[ 1.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.5050000000000057,94.00942680854925
112,0,[[ 2.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.5005000000000057,-48.1505044719715
113,3,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.4960000000000057,-36.40579384959122
114,1,[[-2.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.4915000000000057,62.19133674741977
115,3,[[ 2.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.4870000000000057,-61.27332965272316
116,2,[[-3.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.4825000000000057,103.50476703897749
117,0,[[ 4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.4780000000000057,29.964804310200453
118,3,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.4735000000000057,-56.18479380245506
119,0,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.4690000000000057,-19.174097917657267
120,1,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],0,0,0,1,0.4645000000000057,-13.51330129787756
121,2,[[-4.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.4600000000000057,-24.025753914356073
122,1,[[-4.  11.   0.1]],[[  2.  -10.    0.1]],0,0,0,1,0.4555000000000057,-25.663358974863655
123,2,[[ 3.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.4510000000000057,-23.096161126772785
124,2,[[ 3.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.44650000000000567,-24.08337739758323
125,1,[[ 3.  11.   0.1]],[[  0.  -11.    0.1]],0,0,0,1,0.44200000000000567,-0.8054351093081848
126,0,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.43750000000000566,-92.67959936609759
127,3,[[ 0.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.43300000000000566,20.454238424175095
128,2,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.42850000000000565,-15.050878314517032
129,3,[[-1.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.42400000000000565,-28.496168703572774
130,1,[[-3.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.41950000000000565,-6.306632919516115
131,3,[[ 3.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.41500000000000564,-3.7589650584459378
132,0,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.41050000000000564,125.58014242257656
133,1,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.40600000000000563,-81.39087808387485
134,2,[[ 4.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.40150000000000563,95.68792751136556
135,3,[[ 2.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.3970000000000056,-50.74767520429752
136,3,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.3925000000000056,-16.787622475887815
137,0,[[-2.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.3880000000000056,62.204070304907816
138,2,[[ 4.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.3835000000000056,-3.7069404837680686
139,1,[[-4.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.3790000000000056,108.53422948223582
140,3,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.3745000000000056,28.142402136875763
141,1,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.3700000000000056,1.1388740751452247
142,2,[[ 4.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.3655000000000056,45.91062183078404
143,1,[[ 3.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.3610000000000056,-11.932050336019788
144,0,[[-4.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.3565000000000056,62.32336717419118
145,0,[[-2.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.3520000000000056,-20.66801426470055
146,3,[[-1.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.3475000000000056,29.666828241654365
147,1,[[-1.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.3430000000000056,-24.841255281135467
148,2,[[ 3.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.3385000000000056,100.13813747396594
149,1,[[-2.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.33400000000000557,-15.959308877166837
150,0,[[ 0.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.32950000000000557,124.82513074727706
151,3,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.32500000000000556,93.15588283617525
152,2,[[-1.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.32050000000000556,87.72223999113763
153,1,[[ 1.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.31600000000000555,114.17278310118441
154,0,[[ 0.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.31150000000000555,100.09462018552466
155,1,[[ 4.  11.   0.1]],[[  1.  -10.    0.1]],0,0,0,1,0.30700000000000555,-24.766215522968555
156,3,[[-4.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.30250000000000554,5.634949909116536
157,2,[[ 1.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.29800000000000554,86.7436868574218
158,3,[[ 0.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.29350000000000553,1.2648133381011206
159,0,[[ 2.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.28900000000000553,-2.16501873114688
160,1,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.2845000000000055,75.05783637094422
161,1,[[ 2.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.2800000000000055,-48.53892376148892
162,3,[[-1.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.2755000000000055,100.51931994208644
163,2,[[ 0.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.2710000000000055,71.23043219200935
164,1,[[ 0.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.2665000000000055,-13.877806987819877
165,0,[[ 0.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.2620000000000055,79.53866042046421
166,1,[[-1.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.2575000000000055,-12.014469023079647
167,0,[[-1.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.2530000000000055,-22.414435050298124
168,1,[[-1.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.2485000000000055,-29.176513750934568
169,3,[[-2.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.2440000000000055,101.23503878605516
170,2,[[ 3.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.2395000000000055,44.68408759497408
171,0,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.23500000000000548,-40.38796944825894
172,2,[[ 3.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.23050000000000548,-16.496039823845543
173,2,[[-2.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.22600000000000547,-32.251174255491826
174,2,[[-4.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.22150000000000547,-17.14437019774465
175,1,[[ 0.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.21700000000000547,95.4731295191672
176,3,[[-1.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.21250000000000546,105.97740488512339
177,0,[[ 0.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.20800000000000546,87.79945270839434
178,0,[[ 0.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.20350000000000545,-18.169389255445452
179,2,[[-2.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.19900000000000545,109.9486850781862
180,1,[[-2.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.19450000000000545,93.5644232865292
181,3,[[ 4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.19000000000000544,115.5922854348316
182,0,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.18550000000000544,122.64859156009422
183,2,[[ 0.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.18100000000000543,100.21333027005022
184,1,[[ 0.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.17650000000000543,93.10358533647111
185,0,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.17200000000000543,-18.700055336411957
186,3,[[-3.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.16750000000000542,69.03215406871858
187,0,[[ 3.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.16300000000000542,-8.321634342650029
188,2,[[-4.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.15850000000000541,104.08687726717241
189,2,[[-1.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.1540000000000054,-5.7255517489631735
190,3,[[ 3.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.1495000000000054,94.04783958173337
191,1,[[-1.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.1450000000000054,99.9558821581069
192,0,[[-2.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.1405000000000054,83.10737593952668
193,1,[[-4.  11.   0.1]],[[ -2.  -11.    0.1]],0,0,0,1,0.1360000000000054,13.747713384358075
194,3,[[ 4.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.1315000000000054,7.6103196316799
195,2,[[ 0.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.1270000000000054,127.94091016517373
196,1,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.12250000000000538,128.3470561713064
197,0,[[ 0.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.11800000000000538,119.84214942996778
198,3,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.11350000000000537,104.91952593527162
199,2,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.10900000000000537,90.3812583672306
200,3,[[-1.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.10450000000000537,-29.993738292602607
201,1,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.10000000000000536,111.63597685892142
202,0,[[ 1.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.09550000000000536,90.70761932896397
203,2,[[-1.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.09550000000000536,113.06056122408665
204,3,[[ 4.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.09550000000000536,72.78573215385123
205,1,[[ 0.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.09550000000000536,109.93936471617026
206,0,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.09550000000000536,126.26180180227202
207,2,[[ 0.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.09550000000000536,115.3668238378106
208,3,[[ 0.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.09550000000000536,99.31726921638646
209,0,[[-4.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.09550000000000536,100.34242034829987
210,1,[[ 3.  11.   0.1]],[[  1.  -10.    0.1]],0,0,1,0,0.09550000000000536,-205.17396510631625
211,2,[[ 1.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.09550000000000536,76.16034665482836
212,3,[[ 2.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.09550000000000536,101.2363498213202
213,2,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.09550000000000536,-16.09184596613807
214,0,[[ 3.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.09550000000000536,108.58639070932131
215,2,[[ 2.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.09550000000000536,-6.500215526815076
216,1,[[ 3.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.09550000000000536,112.96632134010157
217,3,[[ 2.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.09550000000000536,132.41931684029458
218,1,[[ 4.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.09550000000000536,-28.52010829781981
219,0,[[ 4.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.09550000000000536,121.83204315259405
220,2,[[ 0.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.09550000000000536,99.53251238257378
221,2,[[ 4.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.09550000000000536,-20.810357558558962
222,0,[[-1.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.09550000000000536,-23.819308043084707
223,3,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.09550000000000536,13.916204746114449
224,1,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.09550000000000536,134.4628652974145
225,0,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.09550000000000536,120.70146554768652
226,2,[[-4.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.09550000000000536,129.6046228578399
227,2,[[ 4.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.09550000000000536,-20.55198582628224
228,1,[[ 4.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.09550000000000536,115.01853541374166
229,3,[[ 4.  11.   0.1]],[[  0.  -11.    0.1]],0,0,1,0,0.09550000000000536,-108.59735824825339
230,0,[[ 2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.09550000000000536,86.30091987117933
231,2,[[ 3.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.09550000000000536,23.328159712233294
232,2,[[-1.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.09550000000000536,-26.207461684466217
233,1,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.09550000000000536,66.08971966393439
