Episode,Loss
1,0.6298950961450251
2,0.5044697721799215
3,0.613801434636116
4,0.5395750565962358
5,0.6528277263349417
6,0.7982354536652565
7,0.9181274050160458
8,0.9569610221819445
9,1.1489678141547413
10,1.167088946875404
11,1.1346504966934006
12,1.0241356031936513
13,1.104270171474766
14,1.0601629398085854
15,1.059189218647626
16,1.0297746143928945
17,0.9657054519653321
18,0.9463048412882048
19,1.032596784202676
20,0.9646554079608641
21,1.0796108457349962
22,0.8706191380818685
23,0.8638216547849702
24,0.7104364275932312
25,0.9601564833096096
26,1.0643566571749175
27,0.9863263042467945
28,1.0618600019237452
29,1.094951181075512
30,1.4006840586662292
31,1.0234747779369355
32,0.9616462455346034
33,0.9399432363558788
34,0.8865911993715498
35,1.1510509848594666
36,0.9379826241305896
37,0.8685293547038374
38,0.9396616405454176
39,1.0644043313132392
40,1.0163923740386962
41,0.8994726141293844
42,1.01454039982387
43,0.8395651551810178
44,1.0075083227440862
45,0.919958480199178
46,0.9096774061520895
47,0.9305452426274617
48,0.9143631458282471
49,0.9128761234854864
50,0.8683450678173377
51,0.46480196714401245
52,0.9006198511041444
53,0.7754920976502555
54,0.7853861249410189
55,0.8539661600671965
56,1.009504015508451
57,0.8543420097520275
58,0.8940191648223184
59,0.8869998276233673
60,0.9145088160442094
61,0.8581718969345092
62,0.936484071943495
63,1.585064172744751
64,0.8587666319476234
65,0.9275429862737655
66,0.8916760413419633
67,1.4844974875450134
68,0.8931938777460116
69,0.8286299180043372
70,0.842620231888511
71,0.9421324372291565
72,0.8031652532089716
73,0.8502768316994542
74,0.8212737143039703
75,0.8245638819301829
76,0.5406156182289124
77,0.872054892375057
78,0.7580187618732452
79,0.9330141365528106
80,0.816751629114151
81,0.8063717482314594
82,0.9043284257253011
83,0.6695208091002244
84,1.6529206037521362
85,0.7576215032873482
86,1.1519380569458009
87,0.889862769179874
88,0.6162905680096668
89,0.7638472963552005
90,0.6420153677463531
91,0.5647793809572855
92,0.8847516228755316
93,0.7736895390351614
94,0.9152738451957703
95,0.6225674629211426
96,0.6072940961881117
97,0.7372492082913716
98,0.4946479260921478
99,0.710226175330934
100,0.46478861570358276
