Episode,Loss
1,0
2,0
3,0
4,2.8492805510759354
5,3.1446585438468238
6,3.115378088421292
7,3.878352403640747
8,3.532556653022766
9,3.395374298095703
10,3.4766007629600733
11,3.063840517630944
12,3.3846966799567726
13,3.350531231789362
14,4.557286262512207
15,3.5831655945096696
16,3.1431850520047275
17,3.502491152032893
18,3.44550344618884
19,3.179822948243883
20,3.483223549524943
21,3.1141859690348306
22,3.3539457732233506
23,3.5275473594665527
24,4.598989486694336
25,3.051535509881519
26,3.568795013427734
27,3.363629670937856
28,3.4692331155141196
29,3.5945971409479776
30,3.775705337524414
31,3.630255882229124
32,3.778664541244507
33,3.6286567883058027
34,4.787528991699219
35,4.494116306304932
36,3.46498437722524
37,3.2716309343065535
38,3.5466203947325012
39,3.427960591656821
40,3.3272833824157715
41,3.6595451831817627
42,3.582775592803955
43,1.9651312828063965
44,3.4835974979400635
45,3.9943518241246543
46,3.633844699859619
47,3.6615278244018556
48,4.15153295653207
49,3.3756867224170315
50,3.461541397230966
51,3.332396451164694
52,3.8404258581308217
53,2.676883816719055
54,3.340851937021528
55,3.2576586524645488
56,3.115063083799262
57,3.2554004424955787
58,3.343294787406921
59,2.9532406980341133
60,3.1902123619528377
61,3.020259724722968
62,3.2761516159978408
63,3.026309609413147
64,3.124008956708406
65,4.765684127807617
66,3.1234102487564086
67,3.534694024494716
68,3.098202807562692
69,2.922113193405999
70,2.8654551267623902
71,2.7247498989105225
72,3.158674849046243
73,3.414395046234131
74,3.107428929385017
75,3.2623267357165995
76,2.98817959139424
77,3.3744373851352267
78,2.945335407589757
79,3.90368644396464
80,2.8349441289901733
81,2.9070096651713055
82,2.9079506397247314
83,4.194805304209392
84,2.7282708088556924
85,2.6191460927327475
86,2.933302566922944
87,2.81234567266115
88,2.3952632546424866
89,3.114790439605713
90,2.758227577749288
91,3.045974795307432
92,3.1569002866744995
93,2.4537848342548716
94,2.8883045162473406
95,2.841962146759033
96,2.7572175313015372
97,3.1435807281070285
98,2.866004025936127
99,2.8954330226954292
100,2.7217643834077396
101,2.404394586881002
102,2.8285782814025877
103,3.10595861603232
104,2.667195439338684
105,2.8136346918163877
106,2.827498122497841
107,3.2066204929351807
108,2.944332750638326
