Episode,Worker_ID,Start,Goal,Collision,Win,Over_Step,Over_Map,Epsilon,AccumReward
53,0,[[-2.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.7660000000000027,-34.65723001829778
54,3,[[-4.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.7615000000000027,-16.237132411540834
55,1,[[-3.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.7570000000000028,-152.51617651738633
56,0,[[ 4.  11.   0.1]],[[ -1.  -11.    0.1]],0,0,0,1,0.7525000000000028,-44.86583395649248
57,1,[[ 4.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.7480000000000029,-55.37936120211924
58,2,[[-2.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.7435000000000029,-56.03118672968551
59,1,[[ 2.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.739000000000003,-27.98581278609493
60,1,[[-4.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.734500000000003,-46.64061577368785
61,3,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.7300000000000031,92.24918881008435
62,2,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.7255000000000031,-42.26136892461762
63,3,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.7210000000000032,-37.15617891227316
64,0,[[-1.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.7165000000000032,57.60596416162828
65,2,[[-1.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.7120000000000033,-37.06577053261452
66,2,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.7075000000000033,-31.44446178033043
67,2,[[ 4.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.7030000000000034,-49.24865304627265
68,1,[[-2.  11.   0.1]],[[  1.  -11.    0.1]],0,0,1,1,0.6985000000000035,-63.54271165113913
69,0,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.6940000000000035,-18.91259100414348
70,3,[[ 0.  11.   0.1]],[[ -2.  -11.    0.1]],0,0,1,0,0.6895000000000036,-71.13738169226129
71,0,[[-1.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.6850000000000036,-23.87976379440615
72,1,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.6805000000000037,-23.22264169520456
73,3,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.6760000000000037,-50.141196802299504
74,0,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],0,0,0,1,0.6715000000000038,-18.660285431459062
75,2,[[-3.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.6670000000000038,46.67398347977204
76,3,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.6625000000000039,-50.74479870014808
77,1,[[ 3.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.6580000000000039,-59.12226646528551
78,2,[[ 0.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.653500000000004,-55.01754992943374
79,1,[[ 2.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.649000000000004,-43.39531417071255
80,0,[[ 3.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.6445000000000041,-44.131460035207915
81,0,[[-2.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.6400000000000041,-32.239429807392504
82,1,[[ 0.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.6355000000000042,-46.68702601026639
83,1,[[ 3.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.6310000000000042,-33.26062139144462
84,2,[[ 1.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.6265000000000043,-49.76850629262077
85,3,[[-1.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.6220000000000043,-7.473863677836828
86,0,[[-2.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.6175000000000044,-44.94346964704087
87,1,[[ 3.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.6130000000000044,-62.52785755501596
